system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,QA60,date,lat,lon,.geo
0,1380,3202,2266,1245,1101,1240,1413,1716,1944,1959,2250,0,2023-03-23,37.33501385997162,-95.3267307067874,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1317,49,42,889,503,288,247,208,190,141,146,0,2023-06-04,-21.011541038620784,-124.76552422032952,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1162,2031,1475,951,850,968,1036,1136,1265,1185,1298,0,2023-01-26,11.062935279389679,-11.79231280526765,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1286,1291,444,980,823,532,832,1995,2736,2485,3134,0,2023-10-24,-1.910390232510834,114.54642342578674,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1381,2050,1363,1126,1016,975,1155,1617,1845,1806,2015,0,2023-04-13,27.868199457432233,120.74333495614178,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4143,2558,1904,3380,2527,3024,3366,3449,3627,2938,3774,0,2023-03-15,74.50904192564761,39.4293393530777,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8524,691,706,8221,7341,7890,7913,7901,7855,7658,7683,0,2023-04-25,71.13786469209411,134.50724227305037,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1091,1083,356,804,678,384,683,2003,2580,2384,2955,0,2023-01-15,-0.1602372248405582,-70.12464051485968,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1268,1660,913,960,790,635,912,1443,1647,1545,1849,0,2023-08-25,60.95407592160681,103.20753174162468,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1116,1454,537,851,800,472,836,2094,2664,2670,2885,0,2023-09-05,45.26124759993268,14.080894704837664,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1332,2145,1219,1100,973,1036,1276,1846,2173,1980,2473,0,2023-06-24,-13.092085706407337,132.61944243438393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1387,207,173,1062,680,435,380,354,339,315,315,0,2023-01-10,-34.244645321942734,137.14349446192986,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1205,2990,2409,1119,1204,1518,1640,1727,1890,1901,1980,0,2023-01-01,31.180305767449504,86.33051397154941,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1172,855,394,835,648,422,655,1384,1601,1507,1793,0,2023-09-11,58.71924275133197,77.37460978979693,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3012,480,461,2758,2152,2225,2415,2516,2496,2444,2495,0,2023-02-27,59.377680576383916,126.9297794810904,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1346,208,161,984,692,462,418,388,368,298,327,0,2023-10-05,15.205638125687512,52.599901464633,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1272,1625,749,977,876,575,894,1903,2418,2405,2578,0,2023-02-08,20.40095548823947,81.77483722507297,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1085,1308,641,866,811,581,922,1571,1806,1739,2017,0,2023-03-16,-17.223513292661583,142.54272413459998,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1702,575,489,1397,1000,777,721,674,647,700,632,0,2023-04-30,45.50158137391914,-11.533489237309615,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1305,100,65,938,580,336,288,272,251,222,179,0,2023-01-20,-28.631440367009642,-72.86957524493815,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1574,4188,3664,1495,1726,2528,2750,2868,3086,3047,3277,0,2023-11-29,34.5606542221064,3.235175746839243,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2047,3971,3384,2271,2561,2966,2826,2971,3428,3263,3422,0,2023-05-16,43.965859801976634,63.32592104151306,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1388,1026,619,1099,861,793,936,1082,1234,1276,1464,0,2023-11-25,43.55239071547724,18.7003998640586,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1786,1065,833,1421,1132,1023,1072,1260,1273,1376,1423,0,2023-12-08,34.388013083578144,73.19545203496362,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,1044,1455,606,787,794,406,961,2498,2838,2746,3051,0,2023-08-03,62.624379755935074,123.79198629317415,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,1140,2561,1871,1027,1063,1302,1551,1946,2117,2163,2323,0,2023-04-07,11.256160400141702,37.271157553554126,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1371,286,210,1003,665,489,420,395,401,329,364,0,2023-12-02,-1.2104296109827357,-90.74777619198389,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1248,73,63,834,472,268,230,205,186,150,161,0,2023-04-12,-27.854577826128143,34.90378099526578,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,1249,20,19,797,412,214,171,145,129,104,96,0,2023-10-24,10.131235335624101,126.41738320812388,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1377,2754,1899,1257,1250,1309,1490,1938,2171,2023,2385,0,2023-08-08,27.351952682929138,-103.7790578721898,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2323,622,406,1966,1586,1262,1174,1119,1104,947,1025,0,2023-03-26,22.63250826057176,117.95026796169516,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,1479,4901,3883,1415,1577,2281,2508,2695,3009,2914,3369,0,2023-01-28,-26.047232619804355,114.33349851498686,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1541,58,52,1120,673,395,319,284,254,206,183,0,2023-07-06,-37.74513681514668,177.28260814479106,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,1060,1752,882,878,839,660,987,2182,2665,2621,3047,0,2023-01-13,6.912295785165455,36.863282682182565,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,1638,23,0,1152,671,391,321,272,216,187,149,0,2023-05-23,-42.89983258370933,175.40377648985665,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,1254,2726,2086,1108,1142,1246,1539,1776,2028,2071,2125,0,2023-08-20,39.5965642862568,37.9210571089983,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6355,1608,1758,5358,4094,4579,5003,5178,5149,4954,5119,0,2023-02-15,61.50972635363193,-97.13981926813943,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2063,1069,780,1962,1520,1401,1152,1120,1140,1330,1090,0,2023-05-24,8.992638885360163,170.66773723950357,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,7796,1102,1248,7437,6317,7228,7590,7645,7632,7336,7561,0,2023-03-15,67.14196040178676,146.4438739538268,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,1617,694,539,1468,1537,1391,1142,881,915,806,851,0,2023-12-02,-16.37927710521177,44.407587558864606,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,8798,940,1016,8595,7701,8171,8323,8234,8134,7863,7786,0,2023-02-06,-77.28445193020603,138.17965453675643,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,1844,570,424,1441,1071,849,1045,1660,1751,1665,1933,0,2023-10-26,59.27583982359107,102.68480426676099,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,1189,39,15,831,498,276,213,192,178,131,127,0,2023-06-08,2.573798374806942,108.30050839372953,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,3391,2837,2023,2791,2577,2538,2569,3159,3592,3257,3824,0,2023-08-12,1.1209226835137052,11.037708428583315,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,1393,2506,1879,1122,975,1120,1277,1436,1580,1672,1894,0,2023-02-27,38.11920286628714,-97.54683133651015,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,1566,4202,3526,1325,1548,2599,2614,2794,2924,2902,2900,0,2023-12-17,23.249955349304656,21.86833555052536,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,1213,1486,611,930,830,504,936,2458,3068,2826,3313,0,2023-07-28,61.52780640244624,36.61964525353613,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,7891,901,864,8164,7619,8038,7872,8038,7750,7580,7467,0,2023-10-14,-64.21271540070745,84.59113324583971,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,1239,2105,1108,975,892,840,1062,2181,2701,2444,3028,0,2023-10-28,23.55514598377361,113.4831167746176,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,1083,2101,753,832,735,423,859,3185,4070,4076,4636,0,2023-09-06,39.59247846749521,127.0679096548853,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,1067,1193,446,766,685,372,784,2000,2582,2517,2972,0,2023-06-20,-12.564402780727232,-62.69239911176611,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,8377,1607,1584,8341,7121,8046,8336,8300,8187,8193,8207,0,2023-03-29,-72.88003154810819,138.57920271270828,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,1858,6191,5252,2012,2778,4471,4743,5080,5389,5128,5603,0,2023-02-03,18.20309087875681,-10.152338205152883,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,1150,1209,488,827,661,378,661,2154,2604,2593,2795,0,2023-08-01,58.75694792096754,69.65820749032822,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,1584,918,826,1530,1240,1169,919,913,996,930,969,0,2023-11-14,12.958191110243282,-56.099668949836534,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,1646,609,517,1332,864,716,722,743,799,579,785,0,2023-09-14,15.079374489200548,-59.171914519972376,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,1290,19,19,859,483,242,193,158,139,112,96,0,2023-02-08,26.10843705387141,-88.32518124670452,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,1625,3406,3054,1646,1907,2388,2591,2698,2799,2707,2803,0,2023-01-06,32.27341762564387,85.52497815031417,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,1996,3041,2967,1907,1976,2340,2354,2442,2549,2505,2526,0,2023-03-07,41.874496916288045,91.17804037317453,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,7519,545,543,6371,5742,6033,6317,6302,6395,5655,6212,0,2023-01-20,43.25352259539654,-91.24689132529319,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,1610,609,503,1169,890,811,741,766,804,518,824,0,2023-09-26,-17.526921333291355,-149.58392204602535,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2668,1827,736,2301,1915,1488,1605,2584,3154,2974,3538,0,2023-10-11,-1.4511286687055969,115.09313112066654,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,1433,235,167,1202,788,557,411,397,378,423,350,0,2023-02-01,15.921428641883246,118.70170922344975,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,1273,1832,895,1011,926,782,1235,2113,2488,2567,2830,0,2023-06-28,65.603515696989,-155.43913438163935,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,1211,157,121,865,591,378,321,307,289,227,235,0,2023-01-17,-47.94849151995389,167.29710358345747,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,1589,2751,2499,1336,1378,1912,2092,2220,2337,2178,2386,0,2023-03-11,39.10586802162852,45.19092601077368,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,1247,90,58,850,467,269,238,205,195,149,153,0,2023-12-25,1.0128526490658667,154.53400997736924,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,1363,2208,1614,1114,970,954,1094,1429,1608,1594,1817,0,2023-09-12,54.47425554003185,80.44778241224131,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1356,124,83,940,558,350,317,282,268,215,244,0,2023-07-07,-8.907594755884281,-16.89605009232943,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,1472,179,124,1056,622,407,380,373,332,267,298,0,2023-03-19,24.348265085358726,141.62359843130642,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2309,4247,3882,2098,2261,2713,3100,3182,3371,2764,3424,0,2023-01-27,23.98492749076767,34.767410788867004,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,1594,2140,1195,1351,1354,1142,1496,2620,3104,2816,3403,0,2023-10-03,9.988048965261592,4.79451644406224,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,7655,842,820,7312,5986,6949,7203,7351,7271,7138,7280,0,2023-03-13,71.90817403823876,-179.97045651124841,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,1462,3215,2289,1249,1061,1259,1416,1578,1761,1829,2079,0,2023-10-28,48.970039230222866,120.22348138901457,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,1653,685,565,1397,1064,882,881,869,891,738,835,0,2023-05-06,22.85769501598616,68.01861970952542,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,1263,1462,753,954,959,599,1067,2391,2793,2927,3047,0,2023-05-03,34.99884579977131,134.36149880983376,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,7589,575,641,7325,6344,7339,7602,7753,7733,7184,7577,0,2023-12-19,54.596568794035186,75.87947098065126,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,1303,184,154,914,551,337,359,339,310,262,262,0,2023-04-24,38.20354715177722,4.308406612624873,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2838,206,149,2001,1284,871,907,1104,1064,953,1056,0,2023-01-10,52.30038347411607,-70.30884379292074,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,1627,3079,2068,1358,1135,1146,1307,1553,1751,1812,2175,0,2023-07-08,64.03517434021518,-82.67740020773141,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,7304,3519,3415,7230,6629,6686,6646,6497,6298,6014,6112,0,2023-01-14,-65.65695482446331,131.1558047431502,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,1246,34,18,844,483,260,202,166,158,117,104,0,2023-08-25,-31.82747310859864,-73.340854355954,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,5712,1076,930,4900,4188,4604,5396,5476,5885,5459,5918,0,2023-10-21,68.0121900018075,-142.35778299039754,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,8143,485,477,7999,7111,7965,8077,8117,8047,7807,7927,0,2023-01-08,53.10324620583403,62.43778056353482,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,5490,505,469,5138,4475,4826,4916,4945,4838,4682,4737,0,2023-05-01,65.29183422729405,96.05112448582028,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,1872,3467,3036,1799,1743,2004,2134,2319,2495,2411,2702,0,2023-04-20,45.194382876580455,64.91599006420049,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,1578,438,333,1169,780,577,592,600,585,425,553,0,2023-03-25,17.495974966730444,-61.80816219243615,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,1696,4610,3439,1604,1883,2645,2752,3267,3683,3328,3781,0,2023-09-18,17.68837037651063,-12.195511585874955,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,1894,3017,2492,1698,1691,2130,2294,2462,2692,2576,2802,0,2023-12-11,29.881334560209275,-112.45608926774268,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,1246,1875,765,955,947,564,958,2583,3198,2951,3564,0,2023-09-11,11.472188358913955,122.73190956195769,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,1330,2475,1762,982,821,971,1207,1536,1705,1675,1926,0,2023-08-12,-31.82066729173787,122.40238632852162,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,1432,488,399,1147,761,556,576,515,508,503,498,0,2023-01-27,11.553630010167485,-54.96915523580703,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,4331,4555,4418,3781,3784,4494,4339,4569,4910,3815,5189,0,2023-04-23,29.350260660826876,129.8191777851702,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,1496,3326,2490,1393,1355,1708,1854,1992,2171,2161,2376,0,2023-11-07,47.71095477125714,110.6215017716046,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,4739,372,253,6337,6118,6755,6933,7397,7040,6711,6875,0,2023-03-17,56.290428720479056,94.93836999320035,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2908,815,617,1962,1538,1371,1755,2435,2647,2702,2844,0,2023-10-16,56.705051888612765,110.49845991758669,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,1367,2649,1540,1096,1002,811,1175,2096,2453,2403,2749,0,2023-08-29,53.326373380979845,59.52327123818213,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,1716,2701,1754,1450,1224,1298,1398,1593,1768,1817,2074,0,2023-08-29,-10.546416809184095,16.53929284294851,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,1622,3353,3050,1675,1834,2249,2406,2618,2763,2712,2874,0,2023-02-20,35.98814065345596,67.46905462626437,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,1306,1965,1233,1069,978,865,1036,1515,1782,1643,1928,0,2023-02-20,8.432772805987065,-8.485988903388382,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,1248,570,214,885,663,394,524,1086,1364,1025,1500,0,2023-10-28,8.531115698670773,-61.57860456348698,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2117,851,932,1610,1200,1001,976,982,1029,773,1006,0,2023-07-08,62.17049299317862,-39.99835137482274,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,3276,2439,2093,3084,2663,2653,2468,2486,2548,2596,2539,0,2023-09-28,-16.879455317923725,-141.04850867771063,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,1592,177,120,1187,786,553,482,438,440,361,371,0,2023-04-16,11.446120487753769,89.4981027205696,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,1265,162,109,1011,896,546,521,423,413,360,360,0,2023-07-15,-0.8613118629653548,34.147280438865316,"{""type"":""MultiPoint"",""coordinates"":[]}"
